,Scientific Name,Vernacular name,Class,Order,Family,Genus,Species,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IBRA 7 Regions,Collector
236,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-36.85386,140.96839,WGS84,-36.85386,140.96839,500.0,Australia,Victoria,Naracoorte and Lucindale (DC),Murray Darling Depression,SAUNDERS J. N/A
237,Charadrius (Charadrius) bicinctus,Double-banded Plover,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
238,Pseudomys shortridgei,Heath Rat,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys shortridgei,-37.99804,140.9665,WGS84,-37.99804,140.9665,50.0,Australia,Victoria,Grant (DC),Naracoorte Coastal Plain,BACHMANN M. Mark
239,Cercartetus nanus,Eastern Pygmy-possum,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus nanus,-37.91154,141.0,WGS84,-37.91154,141.0,1000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CARTHEW S. Sue
241,Vespadelus regulus,Southern Forest Bat,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus regulus,-36.89652,140.97047,WGS84,-36.89652,140.97047,5.0,Australia,Victoria,West Wimmera (S),Murray Darling Depression,DICKSON C.R. Cath
242,Pseudomys shortridgei,Heath Rat,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys shortridgei,-37.99735,140.96694,WGS84,-37.99735,140.96694,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
244,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
246,Miniopterus orianae bassanii,Southern Bent-winged Bat,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus orianae,-36.89652,140.97047,WGS84,-36.89652,140.97047,5.0,Australia,Victoria,West Wimmera (S),Murray Darling Depression,DICKSON C.R. Cath
248,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25561,142.30673000000002,WGS84,-35.25561,142.30673000000002,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
249,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
250,Haematopus fuliginosus,sooty oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus fuliginosus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
251,Antechinus agilis,Agile Antechinus,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus agilis,-37.99505,140.9672,WGS84,-37.99505,140.9672,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,BACHMANN M. Mark
252,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
253,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
254,Calamanthus fuliginosus,Cocktail,Aves,Passeriformes,Acanthizidae,Calamanthus,Calamanthus fuliginosus,-37.411809999999996,140.97298,WGS84,-37.411809999999996,140.97298,1000.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
256,Myiagra (Seisura) inquieta,Restless Flycatcher,Aves,Passeriformes,Monarchidae,Myiagra,Myiagra inquieta,-37.37399,140.97298,WGS84,-37.37399,140.97298,10000.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
257,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.674040000000005,141.49534,WGS84,-34.674040000000005,141.49534,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
258,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
260,Corcorax melanorhamphos,White-winged Chough,Aves,Passeriformes,Corcoracidae,Corcorax,Corcorax melanorhamphos,-37.411809999999996,140.97298,WGS84,-37.411809999999996,140.97298,1000.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
261,Myiagra (Seisura) inquieta,Restless Flycatcher,Aves,Passeriformes,Monarchidae,Myiagra,Myiagra inquieta,-37.411809999999996,140.97298,WGS84,-37.411809999999996,140.97298,1000.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
264,Thinornis cucullatus,Hooded Plover,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis cucullatus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
265,AVES,Birds,Aves,,,,,-34.674040000000005,141.49534,WGS84,-34.674040000000005,141.49534,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
