,Scientific Name,Vernacular name,Class,Order,Family,Genus,Species,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IBRA 7 Regions,Collector
621,Stipiturus malachurus polionotum,Southern Emu-wren (south East Ssp),Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
622,Grallina cyanoleuca,Magpie-lark,Aves,Passeriformes,Monarchidae,Grallina,Grallina cyanoleuca,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
623,Haematopus fuliginosus,sooty oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus fuliginosus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
624,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.65931,141.4955,WGS84,-34.65931,141.4955,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
625,Rhipidura (Rhipidura) albiscapa,Grey Fantail,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura albiscapa,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
626,Anthochaera (Anellobia) chrysoptera,Little Wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera chrysoptera,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
629,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
630,Caligavis chrysops,Yellow-faced Honeyeater,Aves,Passeriformes,Meliphagidae,Caligavis,Caligavis chrysops,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
631,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.70276,141.6367,WGS84,-34.70276,141.6367,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
632,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25643,142.30501,WGS84,-35.25643,142.30501,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
633,Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,Malurus,Malurus cyaneus,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
634,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
635,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
636,Corvus tasmanicus,Forest Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
637,Stipiturus malachurus polionotum,Southern Emu-wren (south East Ssp),Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
638,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
639,Grallina cyanoleuca,Magpie-lark,Aves,Passeriformes,Monarchidae,Grallina,Grallina cyanoleuca,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
640,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
641,Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
642,Anthochaera (Anellobia) chrysoptera,Little Wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera chrysoptera,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
643,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
644,Gymnorhina tibicen,Australian Magpie,Aves,Passeriformes,Artamidae,Gymnorhina,Gymnorhina tibicen,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
645,Lewinia pectoralis,Lewin's Rail,Aves,Gruiformes,Rallidae,Lewinia,Lewinia pectoralis,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
646,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
647,Calyptorhynchus (Calyptorhynchus) banksii graptogyne,Red-tailed Black Cockatoo (south-east Subspecies),Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus banksii,-38.1,141.1,WGS84,-38.1,141.1,10050.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
648,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25643,142.30501,WGS84,-35.25643,142.30501,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
649,Phylidonyris (Meliornis) novaehollandiae,New Holland Honeyeater,Aves,Passeriformes,Meliphagidae,Phylidonyris,Phylidonyris novaehollandiae,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
650,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25643,142.30501,WGS84,-35.25643,142.30501,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
651,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
654,Rhipidura (Rhipidura) albiscapa,Grey Fantail,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura albiscapa,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
655,Pachycephala (Timixos) olivacea hesperus,Olive Whistler,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala olivacea,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
657,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
658,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.70479,141.72656,WGS84,-34.70479,141.72656,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
659,Corvus tasmanicus,Forest Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
660,Turdus merula,Blackbird,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
661,Turdus merula,Blackbird,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
662,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
663,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
664,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
666,Caligavis chrysops,Yellow-faced Honeyeater,Aves,Passeriformes,Meliphagidae,Caligavis,Caligavis chrysops,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
667,Stipiturus malachurus polionotum,Southern Emu-wren (south East Ssp),Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
668,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.67212,141.49679,WGS84,-34.67212,141.49679,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
669,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25417,142.29758,WGS84,-35.25417,142.29758,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
670,AVES,Birds,Aves,,,,,-34.65931,141.4955,WGS84,-34.65931,141.4955,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
671,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
672,Calidris (Ereunetes) ruficollis,Red-necked Stint,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ruficollis,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
673,Charadrius (Charadrius) ruficapillus,Red-capped Dotterel,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
674,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
675,Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
676,Calidris (Erolia) ferruginea,Curlew Sandpiper,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
677,Corvus tasmanicus,Forest Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
678,AVES,Birds,Aves,,,,,-35.25417,142.29758,WGS84,-35.25417,142.29758,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
679,Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,Petroica,Petroica phoenicea,-37.54643,140.97284,WGS84,-37.54643,140.97284,10000.0,Australia,Victoria,Wattle Range (DC),Naracoorte Coastal Plain,SA ORNITHOLOGICAL ASSOCIATION  SAOA
680,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
681,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
682,Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,Malurus,Malurus cyaneus,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
683,Cacomantis (Vidgenia) flabelliformis,Fan-tailed Cuckoo,Aves,Cuculiformes,Cuculidae,Cacomantis,Cacomantis flabelliformis,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
685,Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
687,Rhipidura (Rhipidura) albiscapa,Grey Fantail,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura albiscapa,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
688,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
689,Gymnorhina tibicen,Australian Magpie,Aves,Passeriformes,Artamidae,Gymnorhina,Gymnorhina tibicen,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
690,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.25643,142.30501,WGS84,-35.25643,142.30501,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
691,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.72965,141.69323,WGS84,-34.72965,141.69323,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
692,Limnodynastes dumerilii,Eastern Banjo Frog,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes dumerilii,-34.27217,141.01351,WGS84,-34.27217,141.01351,500.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,FROG ATLAS  N/A
693,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.73687,141.67507,WGS84,-34.73687,141.67507,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
695,Turdus merula,Blackbird,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
696,Grus (Mathewsia) rubicunda,Brolga,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
697,Corvus tasmanicus,Forest Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
698,Corvus coronoides,Australian Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus coronoides,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
699,Corvus tasmanicus,Forest Raven,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
700,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
701,Pardalotus (Pardalotinus) striatus,Striated Pardalote,Aves,Passeriformes,Pardalotidae,Pardalotus,Pardalotus striatus,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
702,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
703,Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,Platycercus,Platycercus elegans,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
704,Turdus merula,Blackbird,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
705,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
706,Vanellus (Lobipluvia) miles,Masked Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
707,Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
708,Cygnus (Chenopis) atratus,Black Swan,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
709,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-35.60774,142.12198,WGS84,-35.60774,142.12198,250.0,Australia,Victoria,Yarriambiack (S),Murray Darling Depression,LANSLEY P. Peter
710,Phylidonyris (Meliornis) novaehollandiae,New Holland Honeyeater,Aves,Passeriformes,Meliphagidae,Phylidonyris,Phylidonyris novaehollandiae,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
711,Haematopus longirostris,Australian Pied Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,-38.053470000000004,140.99693,WGS84,-38.053470000000004,140.99693,10000.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,AUSTRALASIAN WADERS STUDY GROUP AWS
712,AVES,Birds,Aves,,,,,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
714,AVES,Birds,Aves,,,,,-34.70276,141.6367,WGS84,-34.70276,141.6367,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
715,Manorina (Myzantha) flavigula,Yellow-throated Miner,Aves,Passeriformes,Meliphagidae,Manorina,Manorina flavigula,-34.73687,141.67507,WGS84,-34.73687,141.67507,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,BOULTON R.L. Rebecca
716,Cygnus (Chenopis) atratus,Black Swan,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
719,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
721,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
722,Acanthiza (Acanthiza) pusilla,Brown Thornbill,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza pusilla,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
723,Phylidonyris (Meliornis) novaehollandiae,New Holland Honeyeater,Aves,Passeriformes,Meliphagidae,Phylidonyris,Phylidonyris novaehollandiae,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
724,Nesoptilotis leucotis,White-eared Honeyeater,Aves,Passeriformes,Meliphagidae,Nesoptilotis,Nesoptilotis leucotis,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
725,Stipiturus malachurus polionotum,Southern Emu-wren (south East Ssp),Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
726,Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,Platycercus,Platycercus elegans,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
727,Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,Colluricincla,Colluricincla harmonica,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
729,Limnodynastes tasmaniensis,Spotted Grass Frog,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes tasmaniensis,-34.27217,141.01351,WGS84,-34.27217,141.01351,500.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,FROG ATLAS  N/A
730,Rhipidura (Rhipidura) albiscapa,Grey Fantail,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura albiscapa,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
731,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
732,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.108709999999995,141.13504,WGS84,-38.108709999999995,141.13504,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
735,Anthochaera (Anthochaera) carunculata,Red wattlebird,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera carunculata,-38.08215,141.09636,WGS84,-38.08215,141.09636,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
736,Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,Artamidae,Strepera,Strepera versicolor,-38.09278,141.09957,WGS84,-38.09278,141.09957,50.0,Australia,Victoria,Glenelg (S),Naracoorte Coastal Plain,CAMPELL J Jeff
737,AVES,Birds,Aves,,,,,-34.67249,141.49537,WGS84,-34.67249,141.49537,250.0,Australia,Victoria,Mildura (RC),Murray Darling Depression,CLARKE R.H. Rohan
